аалам;n;nom;sg;p3sg;
аалим;n;nom;sg;p3sg;
аалы;n;nom;sg;p3sg;
аар;n;nom;sg;p3sg;
аба;n;nom;sg;p3sg;
аба ырайы;n;nom;sg;p3sg;
абад;n;nom;sg;p3sg;
абаз;n;nom;sg;p3sg;
абак;n;nom;sg;p3sg;
абал;n;nom;sg;p3sg;
абат;n;nom;sg;p3sg;
абзел;n;nom;sg;p3sg;
абийир;n;nom;sg;p3sg;
аброй;n;nom;sg;p3sg;
абыдан;n;nom;sg;p3sg;
абысын;n;nom;sg;p3sg;
абышка;n;nom;sg;p3sg;
ава;n;nom;sg;p3sg;
авал;n;nom;sg;p3sg;
аван;n;nom;sg;p3sg;
август;n;nom;sg;p3sg;
автомат;n;nom;sg;p3sg;
автоматтык;n;nom;sg;p3sg;
автономия;n;nom;sg;p3sg;
автор;n;nom;sg;p3sg;
агай;n;nom;sg;p3sg;
агайин;n;nom;sg;p3sg;
агзам;n;nom;sg;p3sg;
агыл;n;nom;sg;p3sg;
адабият;n;nom;sg;p3sg;
адам;n;nom;sg;p3sg;
адам баласы;n;nom;sg;p3sg;
адамгерчилик;n;nom;sg;p3sg;
адамзат;n;nom;sg;p3sg;
адат;n;nom;sg;p3sg;
адаш;n;nom;sg;p3sg;
адвокат;n;nom;sg;p3sg;
адеп;n;nom;sg;p3sg;
адилет;n;nom;sg;p3sg;
адилеттик;n;nom;sg;p3sg;
адис;n;nom;sg;p3sg;
адистик;n;nom;sg;p3sg;
адмирал;n;nom;sg;p3sg;
адыр;n;nom;sg;p3sg;
ажал;n;nom;sg;p3sg;
ажы;n;nom;sg;p3sg;
ажыдаар;n;nom;sg;p3sg;
аза;n;nom;sg;p3sg;
азан;n;nom;sg;p3sg;
азап;n;nom;sg;p3sg;
азаттык;n;nom;sg;p3sg;
азем;n;nom;sg;p3sg;
азиз;n;nom;sg;p3sg;
азил;n;nom;sg;p3sg;
азирети;n;nom;sg;p3sg;
азуу;n;nom;sg;p3sg;
азык;n;nom;sg;p3sg;
ай;n;nom;sg;p3sg;
ай балта;n;nom;sg;p3sg;
айбанат;n;nom;sg;p3sg;
айбат;n;nom;sg;p3sg;
айгыр;n;nom;sg;p3sg;
айла;n;nom;sg;p3sg;
аймак;n;nom;sg;p3sg;
айнек;n;nom;sg;p3sg;
айрыма;n;nom;sg;p3sg;
айтым;n;nom;sg;p3sg;
айчык;n;nom;sg;p3sg;
айыл;n;nom;sg;p3sg;
айып;n;nom;sg;p3sg;
айыпкер;n;nom;sg;p3sg;
ак күп;n;nom;sg;p3sg;
ак сөөк;n;nom;sg;p3sg;
академик;n;nom;sg;p3sg;
акарат;n;nom;sg;p3sg;
аки;n;nom;sg;p3sg;
акимчилик;n;nom;sg;p3sg;
аккуу;n;nom;sg;p3sg;
аксакал;n;nom;sg;p3sg;
акт;n;nom;sg;p3sg;
акустика;n;nom;sg;p3sg;
акча;n;nom;sg;p3sg;
акы;n;nom;sg;p3sg;
акыбал;n;nom;sg;p3sg;
акыйкат;n;nom;sg;p3sg;
акыл;n;nom;sg;p3sg;
акыл-эс;n;nom;sg;p3sg;
акылдуулук;n;nom;sg;p3sg;
акылман;n;nom;sg;p3sg;
акын;n;nom;sg;p3sg;
акыр;n;nom;sg;p3sg;
акырет;n;nom;sg;p3sg;
ал-жай;n;nom;sg;p3sg;
алаамат;n;nom;sg;p3sg;
алака;n;nom;sg;p3sg;
алакан;n;nom;sg;p3sg;
алд;n;nom;sg;p3sg;
алкыш;n;nom;sg;p3sg;
алла;n;nom;sg;p3sg;
алла таала;n;nom;sg;p3sg;
алма;n;nom;sg;p3sg;
алмаз;n;nom;sg;p3sg;
алтын;n;nom;sg;p3sg;
амал;n;nom;sg;p3sg;
аманат;n;nom;sg;p3sg;
аманчылык;n;nom;sg;p3sg;
анализ;n;nom;sg;p3sg;
анар;n;nom;sg;p3sg;
англичан;n;nom;sg;p3sg;
анжир;n;nom;sg;p3sg;
анжыр;n;nom;sg;p3sg;
ант;n;nom;sg;p3sg;
аныктама;n;nom;sg;p3sg;
апа;n;nom;sg;p3sg;
апат;n;nom;sg;p3sg;
апенди;n;nom;sg;p3sg;
апийим;n;nom;sg;p3sg;
апрель;n;nom;sg;p3sg;
апта;n;nom;sg;p3sg;
ара;n;nom;sg;p3sg;
араб;n;nom;sg;p3sg;
араба;n;nom;sg;p3sg;
арак;n;nom;sg;p3sg;
аракет;n;nom;sg;p3sg;
арал;n;nom;sg;p3sg;
аралык;n;nom;sg;p3sg;
арап;n;nom;sg;p3sg;
арапа;n;nom;sg;p3sg;
арбак;n;nom;sg;p3sg;
аргымак;n;nom;sg;p3sg;
ардак;n;nom;sg;p3sg;
арзуу;n;nom;sg;p3sg;
арип;n;nom;sg;p3sg;
аркан;n;nom;sg;p3sg;
аркар;n;nom;sg;p3sg;
арман;n;nom;sg;p3sg;
армия;n;nom;sg;p3sg;
арпа;n;nom;sg;p3sg;
арстан;n;nom;sg;p3sg;
арт;n;nom;sg;p3sg;
артиллерия;n;nom;sg;p3sg;
артист;n;nom;sg;p3sg;
артисттик;n;nom;sg;p3sg;
арча;n;nom;sg;p3sg;
арыз;n;nom;sg;p3sg;
ас;n;nom;sg;p3sg;
аска;n;nom;sg;p3sg;
аскер;n;nom;sg;p3sg;
асма;n;nom;sg;p3sg;
асма чырак;n;nom;sg;p3sg;
асман;n;nom;sg;p3sg;
