айкал,v,act,imp,
айкыр,v,act,imp,
айма,v,act,imp,
айны,v,act,imp,
айра,v,act,imp,
айрөктө,v,act,imp,
айры,v,act,imp,
айрыл,v,act,imp,
айрын,v,act,imp,
айтайт,v,act,imp,
айтде,v,act,imp,
айтагөр,v,act,imp,
айтал,v,act,imp,
аарчы,v,act,imp,
аачы,v,act,imp,
абайла,v,act,imp,
абакеле,v,act,imp,
агарт,v,act,imp,
агыз,v,act,imp,
агыл,v,act,imp,
агыт,v,act,imp,
адалда,v,act,imp,
адаш,v,act,imp,
адейиле,v,act,imp,
адуула,v,act,imp,
адымда,v,act,imp,
адырай,v,act,imp,
адыраңда,v,act,imp,
адырла,v,act,imp,
ажаалала,v,act,imp,
ажаш,v,act,imp,
ажылда,v,act,imp,
ажыра,v,act,imp,
ажырай,v,act,imp,
ажыраш,v,act,imp,
азтоз,v,act,imp,
азай,v,act,imp,
азала,v,act,imp,
азаптап,v,act,imp,
азапташ,v,act,imp,
азарлан,v,act,imp,
азгыр,v,act,imp,
азгырыл,v,act,imp,
азда,v,act,imp,
аздыр,v,act,imp,
аземде,v,act,imp,
аземдел,v,act,imp,
аземден,v,act,imp,
аземдет,v,act,imp,
азсын,v,act,imp,
азытенти,v,act,imp,
азына,v,act,imp,
азырда,v,act,imp,
азырдан,v,act,imp,
азырла,v,act,imp,
азырлан,v,act,imp,
айайла,v,act,imp,
айбалтала,v,act,imp,
айбаттан,v,act,imp,
айгайла,v,act,imp,
айда,v,act,imp,
айзала,v,act,imp,
айтсаайт,v,act,imp,
айтуякта,v,act,imp,
айымда,v,act,imp,
айыңда,v,act,imp,
айыр,v,act,imp,
акакта,v,act,imp,
акалаш,v,act,imp,
акмала,v,act,imp,
акса,v,act,imp,
аксай,v,act,imp,
аксалаңда,v,act,imp,
актат,v,act,imp,
акшый,v,act,imp,
акшыкта,v,act,imp,
акый,v,act,imp,
акылда,v,act,imp,
акырай,v,act,imp,
акырт,v,act,imp,
акырында,v,act,imp,
акырыш,v,act,imp,
алай,v,act,imp,
алжул,v,act,imp,
алагөр,v,act,imp,
алажат,v,act,imp,
алакой,v,act,imp,
алаксы,v,act,imp,
алакта,v,act,imp,
алал,v,act,imp,
аламанда,v,act,imp,
алаңда,v,act,imp,
алапта,v,act,imp,
аласал,v,act,imp,
албай,v,act,imp,
албаңда,v,act,imp,
алгансы,v,act,imp,
алдасалда,v,act,imp,
алдасоола,v,act,imp,
алдала,v,act,imp,
алдан,v,act,imp,
алда,v,act,imp,
алдейле,v,act,imp,
алдыра,v,act,imp,
алелек,v,act,imp,
алжай,v,act,imp,
алжакта,v,act,imp,
алжы,v,act,imp,
алкала,v,act,imp,
алкылда,v,act,imp,
алкын,v,act,imp,
алкынт,v,act,imp,
алманда,v,act,imp,
алпар,v,act,imp,
алпур,v,act,imp,
алсаңда,v,act,imp,
алсыра,v,act,imp,
алтаңда,v,act,imp,
алтында,v,act,imp,
алчай,v,act,imp,
алчакта,v,act,imp,
алчаңдат,v,act,imp,
алымда,v,act,imp,
алын,v,act,imp,
алыста,v,act,imp,
амалда,v,act,imp,
амалдан,v,act,imp,
аманда,v,act,imp,
амыздан,v,act,imp,
андысдат,v,act,imp,
андыста,v,act,imp,
антминт,v,act,imp,
антала,v,act,imp,
анталаңда,v,act,imp,
антанда,v,act,imp,
антаңда,v,act,imp,
антташ,v,act,imp,
аныкта,v,act,imp,
аңгар,v,act,imp,
аңгемеле,v,act,imp,
аңгиле,v,act,imp,
аңгыра,v,act,imp,
аңда,v,act,imp,
аңды,v,act,imp,
аңка,v,act,imp,
аңкай,v,act,imp,
аңкалаңда,v,act,imp,
аңкар,v,act,imp,
аңкоосу,v,act,imp,
аңтаңда,v,act,imp,
аңтар,v,act,imp,
аңылда,v,act,imp,
аңырай,v,act,imp,
аңыраңда,v,act,imp,
апсепте,v,act,imp,
апар,v,act,imp,
апкаары,v,act,imp,
апкары,v,act,imp,
апраңда,v,act,imp,
апсай,v,act,imp,
аптык,v,act,imp,
апылда,v,act,imp,
апыраңда,v,act,imp,
апырт,v,act,imp,
араандаш,v,act,imp,
аралат,v,act,imp,
арамда,v,act,imp,
арачала,v,act,imp,
арбайла,v,act,imp,
арбайт,v,act,imp,
арбаңдөрбөң,v,act,imp,
арбаңда,v,act,imp,
арбапсоруп,v,act,imp,
арбат,v,act,imp,
арбаш,v,act,imp,
арбы,v,act,imp,
арбыдарбы,v,act,imp,
аргы,v,act,imp,
аргыаргы,v,act,imp,
ардакта,v,act,imp,
ардан,v,act,imp,
аржай,v,act,imp,
арзы,v,act,imp,
аркай,v,act,imp,
аркала,v,act,imp,
аркалан,v,act,imp,
арканда,v,act,imp,
аркылда,v,act,imp,
аркыра,v,act,imp,
арна,v,act,imp,
арнал,v,act,imp,
арсаңда,v,act,imp,
арсылда,v,act,imp,
артал,v,act,imp,
арткыла,v,act,imp,
арттыр,v,act,imp,
артылт,v,act,imp,
артын,v,act,imp,
аруулан,v,act,imp,
арчында,v,act,imp,
арыздан,v,act,imp,
арыкта,v,act,imp,
арыл,v,act,imp,
арылда,v,act,imp,
арымда,v,act,imp,
арына,v,act,imp,
