ëлкадай,adj,pst,attr
ааламдай,adj,pst,attr
аардуу,adj,pst,attr
аарчыгандай,adj,pst,attr
аарчылуу,adj,pst,attr
аарылуу,adj,pst,attr
абадагы,adj,pst,attr
абажурдуу,adj,pst,attr
абажурлуу,adj,pst,attr
абалкы,adj,pst,attr
абжалуу,adj,pst,attr
абжор,adj,pst,attr
абийирдүү,adj,pst,attr
абийирлүү,adj,pst,attr
абийирсиз,adj,pst,attr
абройлуу,adj,pst,attr
абысындуу,adj,pst,attr
авансталуу,adj,pst,attr
автоматташтырылуу,adj,pst,attr
автономиялуу,adj,pst,attr
автордоштурулуу,adj,pst,attr
автотермелүү,adj,pst,attr
ага-инилүү,adj,pst,attr
агайындуу,adj,pst,attr
агалалуу,adj,pst,attr
агалуу,adj,pst,attr
агартылуу,adj,pst,attr
агатай,adj,pst,attr
агача,adj,pst,attr
агжолтой,adj,pst,attr
агрессивдүү,adj,pst,attr
агрессиялуу,adj,pst,attr
агүйлүү,adj,pst,attr
агызылуу,adj,pst,attr
агылгалуу,adj,pst,attr
агылуу,adj,pst,attr
агындуу,adj,pst,attr
агытылуу,adj,pst,attr
адал,adj,pst,attr
адалдуу,adj,pst,attr
адалыраак,adj,pst,attr
адамдай,adj,pst,attr
адамсыз,adj,pst,attr
адаттагыдай,adj,pst,attr
адептүү,adj,pst,attr
адистей,adj,pst,attr
адистештирилүү,adj,pst,attr
адраңдуу,adj,pst,attr
адрестлүү,adj,pst,attr
адуу,adj,pst,attr
адылкеч,adj,pst,attr
адырдагы,adj,pst,attr
адырдуу,adj,pst,attr
адырлуу,adj,pst,attr
адырмактуу,adj,pst,attr
аёолуу,adj,pst,attr
ажаандай,adj,pst,attr
ажайыптуу,adj,pst,attr
ажалдуу,adj,pst,attr
ажалсыз,adj,pst,attr
ажардуу,adj,pst,attr
ажарлуу,adj,pst,attr
ажыдаардай,adj,pst,attr
ажыралуу,adj,pst,attr
ажыратылуу,adj,pst,attr
азайтылуу,adj,pst,attr
азалуу,adj,pst,attr
азандай,adj,pst,attr
азаптуу,adj,pst,attr
азар-түмөн,adj,pst,attr
азганактай,adj,pst,attr
азгандай,adj,pst,attr
азгантай,adj,pst,attr
азгырмалуу,adj,pst,attr
азгырылмалуу,adj,pst,attr
азгырылуу,adj,pst,attr
аздектелүү,adj,pst,attr
азелдүү,adj,pst,attr
аземдүү,adj,pst,attr
азилдүү,adj,pst,attr
азоо,adj,pst,attr
азуулу,adj,pst,attr
азуулуу,adj,pst,attr
азуулуудай,adj,pst,attr
азыксыз,adj,pst,attr
азылуу,adj,pst,attr
азыноолак,adj,pst,attr
азыркы,adj,pst,attr
айбалтадай,adj,pst,attr
айбалтачан,adj,pst,attr
айбандай,adj,pst,attr
айбардуу,adj,pst,attr
айбаттуу,adj,pst,attr
айгырдай,adj,pst,attr
айгырчан,adj,pst,attr
айдай,adj,pst,attr
айдакталуу,adj,pst,attr
айдалуу,adj,pst,attr
айдама,adj,pst,attr
айдамалуу,adj,pst,attr
айдарлуу,adj,pst,attr
айдарымдуу,adj,pst,attr
